Column,Name of Field,Description,Comments,,,,,
ER,FEMALE_GP_HC_35TO39,Female GPs aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
ES,FEMALE_GP_HC_40TO44,Female GPs aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
ET,FEMALE_GP_HC_45TO49,Female GPs aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EU,FEMALE_GP_HC_50TO54,Female GPs aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EV,FEMALE_GP_HC_55TO59,Female GPs aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EW,FEMALE_GP_HC_60TO64,Female GPs aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EX,FEMALE_GP_HC_65TO69,Female GPs aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EY,FEMALE_GP_HC_70PLUS,Female GPs aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
EZ,FEMALE_GP_HC_UNKNOWN_AGE,Female GPs with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FA,TOTAL_GP_HC_COQ_UK,Total GPs whose Country of Primary Medical Qualification is in UK Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FB,TOTAL_GP_HC_COQ_EEA,Total GPs whose Country of Primary Medical Qualification is in EEA Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FC,TOTAL_GP_HC_COQ_EUROPE_OTHER,Total GPs whose Country of Primary Medical Qualification is elsewhere in Europe Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FD,TOTAL_GP_HC_COQ_AFRICA,Total GPs whose Country of Primary Medical Qualification is in Africa Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FE,TOTAL_GP_HC_COQ_ASIA_OTHER,Total GPs whose Country of Primary Medical Qualification is elsewhere in Asia Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FF,TOTAL_GP_HC_COQ_ASIA_SOUTH,Total GPs whose Country of Primary Medical Qualification is in South Asia Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FG,TOTAL_GP_HC_COQ_AUS_PAC,Total GPs whose Country of Primary Medical Qualification is in Australasia/Pacific Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FH,TOTAL_GP_HC_COQ_CEN_AMERICA,Total GPs whose Country of Primary Medical Qualification is in Central America Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FI,TOTAL_GP_HC_COQ_NORTH_AMERICA,Total GPs whose Country of Primary Medical Qualification is in North America Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FJ,TOTAL_GP_HC_COQ_SOUTH_AMERICA,Total GPs whose Country of Primary Medical Qualification is in South America Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FK,TOTAL_GP_HC_COQ_MIDDLE_EAST,Total GPs whose Country of Primary Medical Qualification is in Middle East Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FL,TOTAL_GP_HC_COQ_UNKNOWN,Total GPs whose Country of Primary Medical Qualification is Unknown Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FM,MALE_GP_HC_COQ_UK,Male GPs whose Country of Primary Medical Qualification is in UK Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FN,MALE_GP_HC_COQ_EEA,Male GPs whose Country of Primary Medical Qualification is in EEA Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FO,MALE_GP_HC_COQ_EUROPE_OTHER,Male GPs whose Country of Primary Medical Qualification is elsewhere in Europe Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FP,MALE_GP_HC_COQ_AFRICA,Male GPs whose Country of Primary Medical Qualification is in Africa Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FQ,MALE_GP_HC_COQ_ASIA_OTHER,Male GPs whose Country of Primary Medical Qualification is elsewhere in Asia Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FR,MALE_GP_HC_COQ_ASIA_SOUTH,Male GPs whose Country of Primary Medical Qualification is in South Asia Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FS,MALE_GP_HC_COQ_AUS_PAC,Male GPs whose Country of Primary Medical Qualification is in Australasia/Pacific Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FT,MALE_GP_HC_COQ_CEN_AMERICA,Male GPs whose Country of Primary Medical Qualification is in Central America Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FU,MALE_GP_HC_COQ_NORTH_AMERICA,Male GPs whose Country of Primary Medical Qualification is in North America Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FV,MALE_GP_HC_COQ_SOUTH_AMERICA,Male GPs whose Country of Primary Medical Qualification is in South America Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FW,MALE_GP_HC_COQ_MIDDLE_EAST,Male GPs whose Country of Primary Medical Qualification is in Middle East Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FX,MALE_GP_HC_COQ_UNKNOWN,Male GPs whose Country of Primary Medical Qualification is Unknown Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FY,FEMALE_GP_HC_COQ_UK,Female GPs whose Country of Primary Medical Qualification is in UK Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
FZ,FEMALE_GP_HC_COQ_EEA,Female GPs whose Country of Primary Medical Qualification is in EEA Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GA,FEMALE_GP_HC_COQ_EUROPE_OTHER,Female GPs whose Country of Primary Medical Qualification is elsewhere in Europe Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GB,FEMALE_GP_HC_COQ_AFRICA,Female GPs whose Country of Primary Medical Qualification is in Africa Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GC,FEMALE_GP_HC_COQ_ASIA_OTHER,Female GPs whose Country of Primary Medical Qualification is elsewhere in Asia Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GD,FEMALE_GP_HC_COQ_ASIA_SOUTH,Female GPs whose Country of Primary Medical Qualification is in South Asia Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GE,FEMALE_GP_HC_COQ_AUS_PAC,Female GPs whose Country of Primary Medical Qualification is in Australasia/Pacific Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GF,FEMALE_GP_HC_COQ_CEN_AMERICA,Female GPs whose Country of Primary Medical Qualification is in Central America Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GG,FEMALE_GP_HC_COQ_NORTH_AMERICA,Female GPs whose Country of Primary Medical Qualification is in North America Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GH,FEMALE_GP_HC_COQ_SOUTH_AMERICA,Female GPs whose Country of Primary Medical Qualification is in South America Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GI,FEMALE_GP_HC_COQ_MIDDLE_EAST,Female GPs whose Country of Primary Medical Qualification is in Middle East Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GJ,FEMALE_GP_HC_COQ_UNKNOWN,Female GPs whose Country of Primary Medical Qualification is Unknown Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GK,TOTAL_GP_EXR_HC_UNDER30,All Fully Qualified GPs (excludes Registrars) aged under 30 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GL,TOTAL_GP_EXR_HC_30TO34,All Fully Qualified GPs (excludes Registrars) aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GM,TOTAL_GP_EXR_HC_35TO39,All Fully Qualified GPs (excludes Registrars) aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GN,TOTAL_GP_EXR_HC_40TO44,All Fully Qualified GPs (excludes Registrars) aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GO,TOTAL_GP_EXR_HC_45TO49,All Fully Qualified GPs (excludes Registrars) aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GP,TOTAL_GP_EXR_HC_50TO54,All Fully Qualified GPs (excludes Registrars) aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GQ,TOTAL_GP_EXR_HC_55TO59,All Fully Qualified GPs (excludes Registrars) aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GR,TOTAL_GP_EXR_HC_60TO64,All Fully Qualified GPs (excludes Registrars) aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GS,TOTAL_GP_EXR_HC_65TO69,All Fully Qualified GPs (excludes Registrars) aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GT,TOTAL_GP_EXR_HC_70PLUS,All Fully Qualified GPs (excludes Registrars) aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GU,TOTAL_GP_EXR_HC_UNKNOWN_AGE,All Fully Qualified GPs (excludes Registrars) with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GV,MALE_GP_EXR_HC_UNDER30,Male All Fully Qualified GPs (excludes Registrars) aged under 30 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GW,MALE_GP_EXR_HC_30TO34,Male All Fully Qualified GPs (excludes Registrars) aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GX,MALE_GP_EXR_HC_35TO39,Male All Fully Qualified GPs (excludes Registrars) aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GY,MALE_GP_EXR_HC_40TO44,Male All Fully Qualified GPs (excludes Registrars) aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
GZ,MALE_GP_EXR_HC_45TO49,Male All Fully Qualified GPs (excludes Registrars) aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HA,MALE_GP_EXR_HC_50TO54,Male All Fully Qualified GPs (excludes Registrars) aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HB,MALE_GP_EXR_HC_55TO59,Male All Fully Qualified GPs (excludes Registrars) aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HC,MALE_GP_EXR_HC_60TO64,Male All Fully Qualified GPs (excludes Registrars) aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HD,MALE_GP_EXR_HC_65TO69,Male All Fully Qualified GPs (excludes Registrars) aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HE,MALE_GP_EXR_HC_70PLUS,Male All Fully Qualified GPs (excludes Registrars) aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HF,MALE_GP_EXR_HC_UNKNOWN_AGE,Male All Fully Qualified GPs (excludes Registrars) with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HG,FEMALE_GP_EXR_HC_UNDER30,Female All Fully Qualified GPs (excludes Registrars) aged under 30 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HH,FEMALE_GP_EXR_HC_30TO34,Female All Fully Qualified GPs (excludes Registrars) aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HI,FEMALE_GP_EXR_HC_35TO39,Female All Fully Qualified GPs (excludes Registrars) aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HJ,FEMALE_GP_EXR_HC_40TO44,Female All Fully Qualified GPs (excludes Registrars) aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HK,FEMALE_GP_EXR_HC_45TO49,Female All Fully Qualified GPs (excludes Registrars) aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HL,FEMALE_GP_EXR_HC_50TO54,Female All Fully Qualified GPs (excludes Registrars) aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HM,FEMALE_GP_EXR_HC_55TO59,Female All Fully Qualified GPs (excludes Registrars) aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HN,FEMALE_GP_EXR_HC_60TO64,Female All Fully Qualified GPs (excludes Registrars) aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HO,FEMALE_GP_EXR_HC_65TO69,Female All Fully Qualified GPs (excludes Registrars) aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HP,FEMALE_GP_EXR_HC_70PLUS,Female All Fully Qualified GPs (excludes Registrars) aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HQ,FEMALE_GP_EXR_HC_UNKNOWN_AGE,Female All Fully Qualified GPs (excludes Registrars) with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HR,TOTAL_GP_EXL_HC_UNDER30,All Qualified Permanent GPs (excludes Locums) aged under 30 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HS,TOTAL_GP_EXL_HC_30TO34,All Qualified Permanent GPs (excludes Locums) aged 30 to 34 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HT,TOTAL_GP_EXL_HC_35TO39,All Qualified Permanent GPs (excludes Locums) aged 35 to 39 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HU,TOTAL_GP_EXL_HC_40TO44,All Qualified Permanent GPs (excludes Locums) aged 40 to 44 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HV,TOTAL_GP_EXL_HC_45TO49,All Qualified Permanent GPs (excludes Locums) aged 45 to 49 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HW,TOTAL_GP_EXL_HC_50TO54,All Qualified Permanent GPs (excludes Locums) aged 50 to 54 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HX,TOTAL_GP_EXL_HC_55TO59,All Qualified Permanent GPs (excludes Locums) aged 55 to 59 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HY,TOTAL_GP_EXL_HC_60TO64,All Qualified Permanent GPs (excludes Locums) aged 60 to 64 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
HZ,TOTAL_GP_EXL_HC_65TO69,All Qualified Permanent GPs (excludes Locums) aged 65 to 69 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IA,TOTAL_GP_EXL_HC_70PLUS,All Qualified Permanent GPs (excludes Locums) aged 70 and Over Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IB,TOTAL_GP_EXL_HC_UNKNOWN_AGE,All Qualified Permanent GPs (excludes Locums) with unknown age Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
IC,MALE_GP_EXL_HC_UNDER30,Male All Qualified Permanent GPs (excludes Locums) aged under 30 Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
