,D82096,G81030,G81053,H84629,P89026,M82019,L83044,H82035,D82063,J83002,M81600,N81053,G82052,J81048,M82044,M82060,H81028,B81026,F86040,N81052,G85057,M91015,J82012,J82218,D83041,F86004,J82155,F86010,E82080,B82017,B87001,C83036,J82138,F83034,J82147,F81038,G83021,J81014,E83009,M91008,E81046,N81020,B83042,D81036,M83100,D82006,G84003,A82028,B84011,D83047,F81017,G82041,M87602,M85092,C85022,J82093,H82036,B82050,N83028,J81056,G85125,G82133,F81023,F81082,B83028,M91036,F81049,J82085,F81206,K82039,P85017,H85659,M81049,J81081,L82041,F81120,F86020,L83011,M81063,D83012,J82161,D82062,F81036,M91604,E85663,M83006,M83108,J81006,A83046,P89017,C85001,J81047,E81048,C84133,J82016,J82102,B82025,H82040,A86004,D81032,F81035,J82210,D82005,G82019,G83034,H82012,C84024,D82029,A82013,A82049,M91611,C83035,J82134,A81026,J81031,H85100,L83100,F81219,J84020,K81610,K81006,F81075,B82033,J81637,M83616,M87024,C82008,E83656,M83092,L83087,C83072,L84038,F81696,K81027,J82077,M83727,E81002,J82034,J81034,J82127,B82022,J82104,J82156,D81046,L83121,C88021,M82016,C84009,M82033,H85027,E81024,E82089,L84015,D82012,M85730,D82105,Y02787,J84015,G82762,J82046,F86018,Y02212,M84013,E81054,J82098,J82646,M81080,G82753,G82059,H82023,G85053,B83045,Y02414,F84731,P83011,J82090,C83064,M83025,F81123,G85685,G81076,F81061,J81640,K81103,J82149,M89007,G85721,J81017,E85718,G82769,J81087,D83048,L83092,J81062,F86057,J82083,F86060,N85012,J82196,E82007,E81009,G83009,K82007,K84044,F81013,P89027,F86639,F86689,J82199,J81009,J81021,N81042,E82085,J82214,J82059,C83029,C81021,B87007,D81058,M83015,E85685,Y01839,M82039,P81143,H82643,N81090,A81002,M88018,F81114,P85016,B81017,G82096,Y00984,C88018,H82017,J82084,E82661,C83080,E87029,N85648,J82195,H85041,D82054,P88026,Y01922,E85110,C88073,E81017,Y02463,E87762,Y03664,N82082,L83005,Y01128,M91629,F81213,E84078,J82050,Y05129,D81004,E86024,J82143,Y00955,Y01200,E81004,J81041,G82080,E85120,J82121,M87007,P83621,E81026,F81024,A88007,D82018,E82005,C82082,H81081,E82057,G82226,L85026,Y02986,G82137,M82002,G82631,E81037,K82045,J84008,K81100,L81081,E82069,E82093,E84667,K81012,K81081,P86008,K81030,J81010,C88079,D82106,C81092,K83618,L83097,Y00527,C83033,D82016,K82032,D81047,A83045,D82004,P81152,B85033,C81075,D82071,D81030,L85050,E81027,F81025,M83072,P91615,J82106,F86073,L84075,E82019,D82013,K82057,L85062,L82021,P89020,M83701,A82047,H83018,D82628,Y02167,G82141,G81040,E84009,L85039,Y00825,G81035,H85653,C83009,G82057,J82100,B83011,F81066,C87007,G82235,G82073,G85114,E82111,H82034,D81017,G82048,D81059,D82036,F81105,K84035,G82122,B81022,J81634,F83027,E82025,B83023,B85015,M81013,M89016,Y02900,C87009,C87606,D82044,J81632,C88078,P89015,F85072,G82215,L83025,K83621,J81058,A85001,M82007,D82047,K83043,A82050,P81213,M85007,F81068,E82044,J84010,E82075,F81096,H82007,D81010,M82018,D82050,H82039,Y02826,L83055,P88011,J82072,P81069,Y05501,G84018,E82061,J82144,K84001,P81046,A83034,B81617,K84027,J82069,M92043,M88042,D83067,G82015,M92024,E81006,B81065,J82132,D81034,E83012,K82067,C88027,A82032,G82025,D82007,C83025,P84651,D82045,J83020,Y02115,D82040,J82061,E81011,J82044,E83026,A82021,E87738,L85015,P89008,M81045,L85016,K83041,D81013,K81078,G82197,Y02065,E85008,P87036,F86655,A85017,F81128,C84004,A83074,M83140,E82001,E81033,B85055,L81013,B83020,Y00048,F81152,F86666,D82041,N82655,D82076,P81204,G82097,J84014,K82078,D82073,A85005,H81078,D82020,F81041,H84625,K81062,P86010,L83024,M83070,M83068,P81721,M83024,L81064,F81081,Y02575,E81035,C83057,E81008,M82058,H81029,E82091,F86704,Y02583,F81032,E82056,M92001,M92003,E82024,H82065,E82013,D82104,P83004,F81106,C88038,D83008,B85020,D83016,K83040,K82073,J82622,M85026,F83002,P81196,J82119,M85058,P84018,J82192,L81014,E81014,C83056,E81052,G82211,P81070,A83022,B82026,M84044,E82107,B81055,M84004,M83074,F82007,Y04952,J82164,F81057,F86637,C83058,H81638,J82639,D82030,E83049,H81042,G82604,D82080,P81201,C83082,B83628,Y02646,A83006,P89006,J84019,B82049,D82067,D82032,J83026,E82041,M86017,M83601,C84106,C81086,G84004,D82056,B81003,D82017,E85119,D82003,E81074,G85104,B81064,M81092,B81603,H82037,E82073,J84018,E87013,P84070,M81094,C88083,M81021,P88031,K81028,P92616,Y02521,L82022,D81050,Y05583,J82022,L84041,A83055,F82030,K83021,L81024,P81771,E82084,M92019,C82062,Y05580,E83045,Y01124,D82072,J82002,E82083,H84032,F81150,E82124,B82054,J83059,G85008,J81078,J81012,G83028
2017-02-01,112,100,,,,60,,,,100,84,28,,,28,,,84,120,,,,168,112,,,280,224,,,,,,,,,,98,,,,,,,56,,,60,,,336,,,,56,,100,,56,140,56,120,,56,152,28,,,,,,,56,,,,,,,,100,28,224,,,,,,,,,,,,160,,,100,,,,,84,,,112,,56,,,56,,168,,,,,,,,,,,,,,,,28,,,184,100,,,,,,,,,,112,,,,200,,,,,,224,,,56,,168,,400,240,100,,,36,,,,,,364,,,,,,,,,112,,28,,,100,112,,,,,100,,100,84,,,,,,,310,,,,,,,,224,,100,,,,28,56,,,,,,,,,,,,,,,,,336,56,,,,,,,,252,,,,,,300,,,,,112,,,,,200,,200,,84,,,,228,,,168,,,,,,112,36,,,,,,,,,,,,,,,56,,,,,,,,,56,,,,,,400,,,,,,,,,,,,,105,,,,100,100,100,,,,,56,28,,100,,56,,,,,,,,,100,,,,,,100,,112,,,,112,,,56,,50,,100,,56,,100,,,112,,,28,,56,,,,,60,,112,,,,,100,,,,,56,91,84,30,,112,,84,,,,,,56,,,56,56,84,,,100,28,14,56,252,28,56,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,100,,,,60,,,200,100,240,28,,,56,,,84,,,186,100,100,112,,,280,,,,,,,,168,,,84,,,,,,,,,,60,,,,,,,56,,,,56,224,,60,,56,152,21,,,,,,,,,,,,100,,,,28,,,,,,112,,,,224,,,160,,,100,,,,,84,,,112,,356,,,,,176,,,,,,200,,,,,,,,,,56,,,168,100,,,200,,200,,168,36,,112,,,,200,,100,,,,112,,,56,,168,,100,,,,,36,,,,,,,100,,336,,,,,,,,28,,112,,,168,100,,,,,,,,,,,100,,120,,,,,,,224,,100,,,,,28,56,,,,,,,,,,,,,,,,,,,,,60,,,,,224,,,,,,,,,,,,,,,,400,,200,,,,,,56,,,168,,,100,,,,36,,,,,,,,,,,,,,,28,,,144,,,,,,56,,,,,,,,,,300,,,,,,,56,,,,100,,100,100,100,,,,,56,28,,100,,56,,,,,,,,,,,,,,,,,,312,300,,112,,84,112,,50,,100,,,,,,,112,,,28,,56,,,,,,,,,,,,100,,,,,,140,84,30,,168,,,,,,,,56,,,56,56,,,,,,,,,30,56,200,28,56,112,6,28,30,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,112,200,,,,60,,,200,100,,28,,,,,,84,120,,,100,168,112,,,,224,,,,,,,,,,266,,,,,,,56,,56,60,,,,,,,56,,100,,56,140,,60,,56,152,7,,,,,,,,,,,,100,,,100,28,,,,,,,,,,,,,260,,,100,,,,84,84,,,,112,56,,,56,,100,,,,,,200,,,,,,,,,,56,,,84,,,,,,100,1,,36,,,,,,,,,,,,112,,,56,,168,,400,,,,,36,,,,,,364,,,,,84,,,,,,28,,336,,,,,,,,,,,,,,,,,360,,,,,,180,,,,100,,,,28,56,,,,,,,,,,,,,,,,,,56,,,60,,,,,112,,,,,,300,,,,,,,,,,,,,,168,,,,284,,,84,,,,,,112,36,,,,,,,,,,,,,,,84,,,72,,,,,,56,,,,,,200,,,,,,,,56,,,56,,,,100,,112,,200,,,,,56,28,,100,,56,,,,,,,,,,,,,,,,,112,112,300,,112,,84,,,,,,,,,100,,,224,,,28,,56,,,,,,,,,,,,100,,,,,,112,84,30,,,,,,,,,,56,,,,56,,,,,,,,,,56,100,,,,56,28,112,,56,56,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,,100,66,,,60,,,,,120,28,,,28,,,140,120,,,240,100,112,,,380,224,,,,,,,336,,,140,,,,,,,56,100,,60,,,336,,,,56,,100,,56,140,,,,56,152,63,,,,,,,112,,,,,,,,,28,,,,,,112,,,,224,,,160,,,,,,,84,84,,,112,,156,,,112,,100,,,,,,,,,,,,,,,,,,,84,100,,,200,,100,,168,36,,224,,,,200,,100,,,,112,,,56,,168,,,,,,90,,,,,,,,,,,,,,,,112,,28,,,100,,,100,,,,,100,,,,,,,,180,,,,,,,448,224,,100,,,,28,112,,,,,,,,,,,,,,,,,,56,,,,,,1,,336,,,,,,300,,,,,,,,,,200,,400,,56,,,,112,,,84,,,100,,,112,36,,,,,,,,,,,,,,,70,,,72,,,,,,,,,,,,200,,,,,,,,56,,,,,,,,,224,,100,,,,,112,28,,,,112,,,,,,,,,,,,,,,,,112,,,,112,,84,56,,50,,100,,,,100,,,,,,28,,,,,,,,,,,,,,100,,,,,,168,84,90,,112,,,,,,,,56,,,56,112,,,,,,,,,,112,100,,,,56,28,56,,,256,,14,56,100,42,100,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,112,100,,,,60,,,200,,120,28,,,28,,100,56,,,186,340,168,112,,,,,,,,,,,,,,266,,100,,,,,,,56,60,,,,,,,56,,100,,56,84,,120,,112,152,35,,,,,,,,,,84,,100,,,100,28,,,,,,200,,,,224,,,100,,,100,,,,,84,,,,,156,,,56,,,,,,,,,,,,,,,,,,28,,,84,100,,,,,100,28,,36,,,,,,200,,100,,,,112,,,56,,168,,300,,100,,,,,,,,,,100,,336,,,,,,,,28,,112,100,112,168,,,,100,,,,,,,,84,,380,,,,,,,,,100,,,,,28,56,,,,,,,,,,,,,,,,,,56,,,60,,,,,224,,,,,,,,,,,,,,,,200,,200,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,70,,,72,,,,,,56,,,,,,200,,,,,,,,56,,,56,,,,100,,112,100,100,,,,,56,,,100,,56,,,,,,,,,,,,,,,,,,,600,,112,,168,,,62,,,,56,,100,,,224,,,28,,56,,,,,,,56,,,,,,,,,,,,84,60,,112,,,,,,,,,,,,,,,,,,,,,,56,,,,,112,28,56,,,56,,,,100,70,,,28,98,100,112,28,56,100,112,100,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,112,100,100,,,60,,,200,,120,56,,,28,,,56,,,100,,268,112,,,,112,,,,,,,168,,,266,,,,,,,56,100,56,60,,,672,,,,56,,100,,112,84,,60,,56,152,28,,,,,,,,,,,,112,,,,28,,,,,,,,,,,,,220,,,100,,,,84,84,,,56,,56,,,,,,,,,,,200,,,,,,,,,,28,,,84,,,,200,,100,28,,72,,,,,,,,100,,,,112,,,56,,,,200,120,,,,,,,,,,364,,,,,,,,,112,,28,,224,,112,,200,,,,,100,,,168,,,84,,200,,,,,,180,,224,100,100,,,,,56,,,,,,,,,,,,,,,,,,56,,,,,,,,112,,,,,,300,,,,,,,,,,400,,200,,,,,,400,,,168,,,100,,,112,36,,,112,,,,,,,,,,,,28,,,72,,,,,,112,,,,,,200,,,,100,,,,56,,,,,,,100,,,28,100,,,,,56,28,,100,,56,,,,,,,,,,,,,,,,,112,112,,,112,,84,56,,84,100,100,,56,,100,,,,,,28,,,,,,,,,,,,,,100,,,,30,,,84,60,,112,,,,,,,,,,,,56,,,,,,,,,,56,100,,,,56,28,,,,356,,,,,56,100,,,,,,,56,,,,56,14,28,28,56,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,,,,,60,,,,,,28,,,28,,,56,120,,,100,,112,,,,,,,,,,,,,,42,,,,,,,56,28,,120,,,336,,,,56,,100,,,,,,,56,152,21,,,,,,,,,,84,,,,,,28,200,,,,,,,,,224,,,160,,,100,,,,420,84,,,56,,256,,,56,,,,,,,,,,,,,,,,,,28,,,,100,,,,,100,,,,,,,,,200,,,,,,112,,,56,,,,400,,100,,,,,,,,,,,,,,,,,,,,28,,,200,112,,,,,130,,,,,168,,,,,300,,,,,,,,224,,100,,,,28,56,,,,,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,,,,,,,,,,200,,,,56,,,,112,,,84,,,,,,112,72,,,,,,,,,,,,,,,56,,,72,,,,112,,,,,,,,,,,,100,,,,56,,,,,,,,,,,100,,,,,,28,,,,56,,,,,,,,,,,,,,,,,,,300,,224,,,56,200,,,,,,,100,,,,,,,,,,,,,,,84,,,,,100,,,,,,,,60,,112,,,,,,,,,,,,56,,,,,,,,,,56,100,,,,,28,56,,,324,,,,,56,100,,,42,,140,,56,,,,,14,45,28,,,28,42,28,84,28,100,56,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,,,100,,,60,,,200,,,,,,56,,,56,120,,186,340,,,,,300,,,,,,56,,,,,266,,,,,,,56,112,56,,,,,,,,112,,,,56,,,60,,56,152,21,,,,,,,112,,,117,,112,,,100,28,,,,,,200,,,,,,,260,,,100,,,,,168,,,,,240,,,56,,,,,,,,,,,,,,,,,,28,,,,,,,,,100,,,,,,,,,,,,,,,224,,,56,,168,,300,,,,,,,,,,,,100,,,,,,,,112,,28,,224,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,56,,,,,,,,,,,,,,,,,,56,,,,,,,,224,,,,,,300,,,,,,,,,,200,,,,,,,,,,,84,,,,,,,36,,,,,,,,,,,,,,,70,,,72,,,,56,,112,,,,,,,,,,,,,,84,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,112,112,40,,112,,,56,,212,,100,,112,,100,,,112,,,,,,,,,,,,112,,,,,100,,,,60,,,,60,,84,,,,,,,,,,,,56,,,,,4,,,,,,,,,,,,56,,,100,,,,,70,100,,,126,,84,,56,,,,,,,28,56,,,,,126,28,,28,,28,28,100,180,4,112,120,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,,,,,,60,,,200,,,,,,,,,56,,,,,,,,,,,,,,,,,168,,,42,,,,,,,56,112,,120,,,336,,,,56,,100,,56,140,,60,,,152,21,,,,,,,,,,84,,,,,,28,,,,,,,,,,,,,160,,,100,,,,,84,,,56,,212,,,56,,,,,,,,200,,,,,,,,,,28,,,,100,,,200,,100,,,36,,112,,,,200,,100,,,,,,,112,,336,,100,120,,,,,,,,,,364,,,,,,,,,100,,28,,,100,112,,,,,,,,,,,,,,,600,,,,,,,,,,100,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,200,,,,224,,,,,,,168,,,,,,112,36,,,56,,,,,,,,,,,,56,,,72,,,,,,,,,,,,,,,,100,,,,168,,,40,,,,,,,,100,,,,,56,,,200,,56,,,,,,,,,,,,,,,,,,112,300,,112,,84,56,100,56,,112,,112,,100,,,224,,,,,,,,,,,,,,,,,100,,,,,,,,60,,,,56,,,,,120,,,,,56,,,,,,,,,,,,,,,,28,56,,,284,,,,,70,,,,42,,84,,,,,,,,,,,,56,,,84,28,,,,,,,,,56,120,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,112,,,,,116,,,,,240,,,,28,,,56,,,,100,,112,,,300,,,,,,56,,,,,210,,100,,,,,56,224,,60,,,,,,,56,,50,,56,112,,180,,56,152,35,,,,,,,56,,,84,,112,,,,28,,,,,,,,,,,,,60,,,100,,,,,84,,,,,112,,,56,,,,,,,,,,,,,,,,,,28,,,84,,,,200,,100,28,,,,112,,,,200,,100,,,224,112,,,56,,168,,100,120,100,,,100,,,,,,,,,,,84,,,,,,28,,224,,,,100,,,,,200,,,,,,,128,400,,,,,,,,,100,100,,,,,56,,,,,,,,,,,,,,,,,,56,,,,,,,,112,,,,,,600,,,,,,,,,,200,,,,,,,,200,,,,,,,,,,36,,,,,,,,,,,,,,,70,,,,,,,28,,,,,,,,200,,,,200,,,,168,,,,,,,,,,,100,,,,,168,,,200,,56,,,,,,,,,,,,,,,,,,112,40,,112,,84,,200,,,56,,56,,,,,112,,,,,,,,,,,,112,,,,,100,,,,30,,,,60,,28,,112,,,,,,,,,,,,,,,,,,,,112,100,,,,,,56,,,100,,,,,28,100,,,42,,84,,,,,,56,,,28,,,,,,84,,,28,,,,100,,,56,120,,100,28,30,112,336,100,100,100,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,,,100,,,60,,,200,,,56,,,28,,,56,120,,186,100,,112,,,140,,,,,,,,,,,154,,100,,,,,,200,,60,,,672,,,,56,,50,,112,56,,,,,152,28,,,,,,,,,,84,,,,,100,56,200,,,,,,,,,224,,,100,,,100,,,,,84,,,112,,212,,,56,,,,,,,,200,,,,,,,,,,28,,,84,100,,,,,100,,,36,,112,,,,,,,,,,112,,,56,,168,,500,,,,,,,,,,,,100,,,,,,,,100,,28,,,,112,,,,,,,,,,336,,,,,200,,,,100,,,,336,100,100,,,,,56,,,,,,,,,,,,,,,,,,,,,180,,,,,112,,,,,,,,,,,,,,,,400,,,,,,,,112,,,168,,,,,,,36,,,28,,,,,,,,,,,,42,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,100,,,,,56,,,,,,,,,,,,,,,,,,,,,,,112,300,,112,,84,56,100,112,,56,,56,,200,,,56,,,,,,,,,28,,,,,,,,120,,,,30,,,,60,,,,168,,,,,,,,,,,,,,,,,,,,56,120,,,,,28,56,,,368,,,,,,,,,,56,,,,,,,,,,28,112,,,,,,,,,,,,120,180,,56,120,,100,56,,,,,,,,112,84,1,30,56,28,100,112,84,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,224,,,,,60,,,200,,,,,,56,,,56,,,,480,,224,,,140,,,,,,,,,,,252,,,,,,,,,,60,,,,,,,56,,100,,56,,,228,,,152,21,,,,,,,56,,,84,,,,,,,,,,,,200,,,,448,,,360,,,100,,,,168,84,,,56,,212,,,84,,,,,,,,,,,,,,,,,,,,,84,100,,,200,,,,,36,,,,,,200,,,,,,112,,,56,,168,,100,120,,,,,,,,,,,,,,,84,,,,100,,,,112,,,,100,,,,,,,,,,,,,200,,,,,,,,,100,,,,,,56,,,,,,,100,,,,,,,,,,,,,,,,,,,336,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,84,,,,,,,,,,,,42,,,72,,,,56,,,,,,,,200,,,,100,,,,84,,,28,,,,,,,,100,,,,,56,,,,,,,,,,,,,,,,,,,,,,,112,,,112,,,56,,56,,56,,,,,,,56,,,,,,,,,,,,,,,,,120,,,,28,,28,,60,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,56,56,,,184,,,,,,100,,,,,,,,,,,,,,28,,,,,,84,,,,,,,,180,,56,120,,,,,,,,200,,84,,,,,56,,,,,28,,56,56,100,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,,100,,,60,,,,,,56,,,28,,,56,,,186,,,112,,,140,,,,,,,,,,,84,,,,,,,,,56,60,,,,,,,56,,100,,,56,,,,,166,7,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,100,,,100,,,,392,84,,,56,,112,,,84,,,,,,,,200,,,,,,,,,,,,,84,,,,,,,,,,,112,,,,200,,,,,,224,,,56,,168,,400,,,,504,100,,,,,,,,,336,,,,,,,,,,112,,112,,,,,,,,,,168,,,,100,300,,,,,,,,336,100,100,,,,,56,,,,,,,,,,,,,,,,,,56,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,112,,,168,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,84,,,28,,,,,,,,200,,,,,56,,,100,,,,,,,,,,,,,,,,,,,,,300,,112,,,56,100,56,,56,,56,,100,,,56,,,,,,,,,28,,,,,,,,120,,,,28,,,,,,,,,,,,,120,,,,,,,,,,,,,,,56,,,,,,28,,,,284,,,,,,,,,,,84,,,,,,,,45,28,,,,,,,28,,,,,,180,360,,,120,,,28,,,,,,,,112,,,,56,,,,,,60,,56,,,50,56,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,112,,,,,120,,,200,,,28,,,28,,100,56,100,,,100,168,112,,,240,,,,,,,,,,,168,,,,,,,,,,60,,,336,,,,56,,,,,56,,168,,,56,7,,,,,,,56,,,,,,,,112,,200,,,,,,,,,224,,,,,,,,,,,84,,,56,,112,,,84,,,,,,,,,,,,,,,,,,28,,,168,100,,,200,,200,,,,,112,,,,,,100,,,,,,,56,,,,100,120,,,,56,,,,,,364,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,100,,,,,56,,,,,,,,,,,,,,,,,,56,,,,,,,,112,,,,,,,,,,,,,,,,400,,,,,,,,,,,84,,,100,,,,,,,,,,,,,,100,,,,,84,,,72,,,,56,,,,,,,,200,,,,100,,,,84,,,28,,,,,,,,100,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,112,,84,56,,,,56,,56,,100,,,56,,,,,,,,,56,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,184,,,,,,100,,,,,,,,,,,,,,28,,,,,,168,56,,,,,,360,180,,112,261,,,84,,112,,,100,,28,,84,,,,,,,,28,60,112,56,,,,,,,100,168,56,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,,,,,60,,,200,,,56,,,28,,200,56,,,,340,368,112,,,100,,,,,,,,168,,,,,100,,,,,,,,60,,,,,,,56,,200,,56,280,,84,,,210,,,,,,,,,,,,,,,,,56,,,,,,200,,,,,,,100,,,100,,,,224,84,,,56,112,112,,,84,,,,,,,,200,,,,,,,,,,28,,,84,,,,,,200,,,,,,,,,200,,100,,,,,,,56,,,,300,,,,,56,,,,,,350,,,,,,,,,,,,,224,,112,,,,,,,300,,,168,,,,,300,,,,,,,,336,100,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,300,,,,,,,,,,600,,,,224,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,70,,,25,,,,56,,,,,,,,200,,,,100,,,,84,,,28,,,,,,,,100,,,,,112,,,200,,,,,,,,,,,,,,,,,,,,,,,112,,84,56,100,28,,,,56,,100,,,56,,,,,,,,,84,,,,,,,,120,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,140,,,200,,,,,,100,,,,,,,,,,,,,,,,,,,,168,28,28,,,,,180,180,,56,282,,,,,,,100,,,28,112,168,,,,,,112,84,,,,,,,,,,,,,,,,56,100,112,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,,,100,,,60,,,200,,,28,,,28,,100,56,,,186,,168,224,,,280,,,,,,,,168,,,168,,100,,,,,,,,60,,,336,,,,56,,,,86,224,,84,,,336,14,,,,,,,50,,,,,,,,112,28,,,,,,,,,,224,,,260,,,200,,,,,84,,,112,,112,,,168,,,,,,,,,,,,,,,,,,56,,,336,100,,,200,,,,,,,224,,,,200,,100,,,,,,,56,,,,100,120,,,,56,,,,,50,364,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,200,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,112,,,,,,,,,,,,,,,,200,,,,112,,,,224,,,84,,,,,,,,,,112,,,,,,,100,,,,,84,,,97,,,,56,,,,,,,,600,,,,,,,,84,,,28,,,,,,,,100,,,,,56,,,100,,,,,,,,,,,,,,,,,,,,,356,,212,,,56,100,112,,,,56,,100,,,56,,,,,,,,,28,,,,,,,,120,,,,,,,,60,,,,,,,,,,,,,,56,,,,,,,,,,56,210,,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,28,,,,28,48,,,,,,180,,,,,,28,,,,100,100,,28,112,168,,,,,,,,28,,,,200,,50,84,,,,14,,,,56,,,200,7,56,150,84,84,28,100,140,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
