,L81034,C83023,A82031,J83049,M83049,M83703,L81055,L81058,A82022,L83072,M92649,C83003,C82038,M92011,M83052,M83033,C83019,M92002,J83055,D83029,L81066,J83007,L81002,L81643,J83006,C83085,L81052,M91007,L81047,P81607,L81029,J83029,M85007,L81019,L81063,D82037,M91017,B81035,J83032,Y02581,C83038,A82032,C83083,J83011,Y00741,L81124,M92609,L81040,J83642,C83015,L81016,A82029,B81056,L84085,J83030,Y02868,L81017,L81086,M83013,J83018,A82631,C83049,C83071,M85156,C83004,Y02627,J83050,M92012,N85052,L81130,C83033,L84080,J83052,B82069,J83042,L81018,M82046,P81020,J83040,M83639,L81046,L81074,L81021,L84051,M91004,L81060,L81044,M91013,C83075,D83062,B81011,G81017,L81051,M84030,M85143,L81043,M92009,L81119,L82054,D81058,J83020,G82229,L84063,M92039,M83662,L81635,M92024,B81038,C83029,M87021,L81056,L81079,A82013,M92630,J83037,J83021,L81642,L81127,A82035,M85177,J83028,D83053,M85051,J83008,M85056,D83027,J83003,M84019,L81632,H81097,J83034,M91019,J83035,M92006,C83056,M85003,J83603,L81102,C83063,M83129,F82021,D83036,L81088,M91643,L81116,M85669,J83060,L81050,M91008,B81095,D82034,M92607,M85128,C83005,J83046,L81024,L81004,C83031,L81028,H81043,J82138,D83023,J83619,C83021,J83045,M82057,M87012,C83072,J83053,B81027,M92013,B81046,C83007,C83079,J83016,M85023,C83611,C83051,P81051,M82039,F86044,M83107,J82058,J83026,P81633,L81117,J83023,B81058,J83036,M83001,D82100,M83022,L81014,E86004,M83719,J83019,M83727,C84060,M85076,M83738,M91011,Y02757,A82044,C83052,M92007,C83045,D82007,P81215,L81083,P82036,N82003,M83109,M83031,C83059,B81048,M86040,J83041,J83625,J83056,M83668,M85103,B85011,P84070,D83045,L81013,H83043,J82075,L81600,L81041,M83072,M92040,L81033,J83629,M92028,J82157,J83017,P81070,M92019,D83048,G81039,F81020,M91015,J83013,L81649,L81103,P82015,L81075,C83043,M92647,M83146,D82028,M81083,C83073,C83060,P81182,K81002,P81730,M83616,J83618,M92654,G81077,D82020,C83064,K81003,Y03798,C83040,C83057,L83043,D83022,L81084,M91647,Y04944,J82220,M85058,M91016,J83615,M92629,E86029,L81036,Y02354,J82123,M85030,M83097,M85061,N85014,M92627,C83009,C83633,P88016,J82017,L81026,J82077,J82633,C83022,L81062,M92031,M83065,C83047,L81057,J82025,J83039,M83020,P81078,M83036,L81072,M82029,L81089,D83055,D83079,M91612,C83013,L81670,C83037,J83043,J83010,D83060,L81087,L81031,C83041,J83005,J82136,D82053,L81118,M85079,J83004,M92014,Y00400,M85600,M86020,Y01652,C83028,J82061,K81077,D82058,M92043,M92030,Y02636,M81016,M83613,J82094,B81072,M83009,P92033,D83078,M85081,D83056,M84016,M84003,M83044,M89002,M84629,L85024,M91616,L81045,M81044,M91032,M83638,D83018,D83069,Y04631,Y04037,J83636,J82144,Y02666,M92016,J83048,M85117,M81025,C87029,M85086,J83044,M85733,P81058,M83682,M83050,K81047,A82006,J83609,L81030,M84028,M91020,D83008,Y02771,P92626,C83614,M83024,L81085,L81091,M92008,L81077,M83139,L81054,N85022,H83034,M83680,C88088,Y01166,F81125,C85022,K81633,L85043,D83067,L81042,J83014,M92015,M85028,P92619,B84006,M84062,D83047,C84012,K81067,C83065,K81040,B81099,M85029,J83632,L81648,E81035,B81034,M81032,D83044,M84015,Y03662,G81031,D83035,L81007,D83030,L81038,M85027,L81035,F82607,L81012,M84040,C83058,M92022,M83619,G81048,L81037,Y03792,G83009,M83014,L81095,F81095,L85014,L81131,F81123,M91009,L85012,G85053,D83021,L85027,M92001,D83039,M85783,L81669,N85002,L81009,D83003,C85004,Y03922,K81020,Y01013,G81085,M85167,M83608,M92010,M92041,M92026,D81085,J82131,P81036,M85062,C83014,L81015,K81069,D83009,Y02735,Y02989,L85028,F84735,L81067,D83026,J82054,J83025,M83057,Y03457,J83601,Y04907,Y01924,K81001,Y03671,M84029,J82214,L81125,D83040,L81106,J82016,N81086,D83002,L81022,M91034,M92640,P92017,D82019,L81123,M83110,M83715,L81098,M85037,M81091,L81070,K81022,J83009,C87007,Y01950,Y02986,C83018,M83069,D82041,K81057,G82007,M82031,D82003,K81014,K81073,J83047,M88022,J83646,L81078,M87016,C85622,J81011,M85043,L85005,L81094,K81004,M89013,M92612,L81101,B81018,K82033,N82048,Y05333,F86001,K84012,E85066,A84025,C83010,C83055,D83012,M86017,K81610,J83002,L85010,H85011,C85030,M91006,C85017,K83007,D83076,M86035,B87004,Y02615,F81176,C84705,L83039,J83630,K82011,Y06131,G82777,B81017,M88018,M91014,D83058,F83633,Y00776,K81082,C81067,E84057,P88015,Y00449,L81622,L81020,B86048,M91028,L83031,H84015,G81070,Y02656,M87013,H81129,G81100,Y06431,Y06443,G82090,C84124,K81006
2017-02-01,156,,,184,,184,,2324,,,156,78,,,,92,92,,368,276,616,1288,,978,,,156,,,,156,644,,,234,,,,92,,78,,,184,,170,,262,,,772,,,,276,,,730,248,92,,,,,,,184,78,,156,,,92,,1196,,,,368,,354,,644,,,170,814,,,,,,878,248,,418,92,262,,92,552,,,,,,,,,,,156,,,,276,,,,,,,,184,,92,184,,,,,,,,,,,262,,,,,,,,,92,,,,,,,,,78,184,,,,,,368,,,,,,92,,78,,,92,368,,,,,,,,,184,,,,,,,,,78,,,,,,,,,,,,390,92,,,,,,78,,,92,,368,,184,,,,,,,,,,,,,,,,,92,,,,,,,184,,,,,,,,,,92,,,,,,,,78,,,,,,,,,,,,,,,,,78,,,,184,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,538,,552,276,,78,156,,1472,,,170,,,,,,,,,,,,,546,92,,,,,,,,,,156,,,,1104,,,,,,,92,,,,92,,,,,,,,,,,,,,,,,248,,,,,,,,,78,,78,,,,,,,,,,,,,,184,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,78,,,,,,,92,,,184,,,,156,,,,,,,,,,,,,,92,,92,,,,,92,,,,,,78,78,78,92,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,,,92,,,78,1070,,,78,92,,,,92,92,,460,276,1572,1380,,1218,78,,312,,,,92,368,,,468,,,,276,,78,,,276,,248,,616,,,538,,,78,368,,,588,468,276,,,,,,,92,,326,,184,,460,,1564,,,,460,,248,,1090,,,,970,184,,,,,1246,248,,326,156,276,,,644,234,,,,,78,,,,,510,,,,1012,,,,,92,,,460,,184,552,,,,184,,,92,,,,78,,,,,,,,,184,,78,,,,,,92,156,170,,,,,,460,,184,,,,92,,,,,92,92,,,,,,,,,184,,,,,,,170,,,,,276,,,,,,,,,1472,,,,,,,,,92,92,,644,92,184,,,,,,184,,,78,,,170,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,538,,,92,,,78,,1380,,,340,,,,,,,,,,,,,78,,,,,,,,,,,,,,,736,,,,,,,92,,,,276,,,,,,,,,,,,,,,,,78,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,78,,,,,,,92,,,184,,,,312,,,,,,,,,,,,,,,78,92,,,,,,,,,,,,,92,,,,78,78,184,78,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,326,,,276,,,,878,,,156,92,,,,,184,,998,828,1176,1656,,630,496,,78,,,,78,184,,78,312,,,,92,,78,,,,,78,,644,,,368,,,,184,,,156,248,460,,,,,,,,,248,,,,92,,828,,,,736,,262,,368,,,,920,,,,,,814,170,,234,156,446,,,828,156,,,,,78,,,312,,496,,,184,460,,,,,92,78,,92,,184,1012,,,,92,,,,,,,92,,,,,,,,,184,,,,,78,,,184,,496,,,,,,368,,,,,,184,,,,,92,184,,,92,,,,,,92,,,,,,,,,,,,276,,,,,,,,,,,,92,156,,,,,,92,,1012,,276,,,,,,,,,92,,,170,,,,,92,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,78,184,,,,184,,,,,,,92,,920,460,,,78,,920,,,326,,,,,,,,,,,,78,170,92,,,,,,,,,,,,,,736,,,,,,,92,,,,184,,,312,,,,,,,,,,,,,,276,,,,,,,,,,184,156,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,156,,,,,,,,,,,,,,,78,92,,92,,,,92,,,,,,,92,92,,276,78,,,,,156,184,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,432,,,276,,,,262,,156,156,92,,78,,,,,446,1104,1062,1380,,1048,496,,,78,,,340,460,,78,936,,,,368,,92,,,92,,78,78,368,184,,,,,,276,,,326,312,368,78,,,,,92,92,78,262,234,,,92,,644,,,,736,,432,,170,,,,1366,,,,,,1168,184,,156,170,,,,460,156,,78,,,,,,,,170,,,460,920,156,,,,,,,,,460,1288,,,,184,,,,,,,,,,,,,,,,92,,,,,78,,,92,,170,,156,,,,736,,92,,,,92,,,,,,276,,,92,,,,,,,,,,,,,92,,,,,92,78,,,,,,,,,,,,,,,78,,,92,,644,92,184,,,,,,92,,,78,,,,,,340,,92,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,92,,368,92,,,156,,1012,,,156,,,,,,,,,,,,,78,92,,,,,,,,,,,,,,460,,,,,,,92,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,184,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,156,184,,,,,92,156,,,,,,,92,276,,92,,,,,,,,,,78,276,92,92,78,78,78,156,78,78,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,184,,,552,,,,276,,,,92,,,,,,,418,1196,984,736,,1260,78,,,78,78,,170,538,,78,390,,,,92,,78,,,184,,170,78,772,920,,,,,,,,,418,638,736,,,,,,92,92,,170,156,,,92,,1196,,,,644,,262,,722,,,,2194,,,,,,828,446,,78,156,,,92,368,156,,,,,78,,,,,546,,,184,1196,,,,,,,,276,,460,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,156,602,,,,,,552,,92,,,,92,,78,,,,,,,92,,,,,,644,,,,,,,184,,,,,,,,,,,,,,,92,,,,,,78,,,92,,1012,92,184,78,,,,,,,,78,,,,,,,,92,,,,,,,552,,,,,,,,,,,,,,,,,326,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,184,,368,92,,,78,,828,,,602,,,,,,,,,,,,,156,92,,,,,,,,,,,,,,736,,,,,,,,,,,,,,,92,,,,,,,,,,,,92,184,,,,,,,,,234,,78,,,,,,,92,,,312,,92,78,92,,,,92,,,,,,,,,,,,,,184,,,,,,,,,78,,,,,78,,,,,,,,,,,,,,,,,156,,,,,,92,,,,,,,,,78,,,92,,,184,156,,,,,,,78,,,,,,184,,,,,,,,,,,,,,78,,,78,,78,184,78,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,184,,,552,,,78,510,,,312,92,,78,,92,368,,1232,2484,276,1104,,694,92,,78,,78,,,368,,156,390,,,,92,,78,,,92,,156,,510,368,,,,,,276,,,170,326,276,,,,,,92,,,170,,,,,,1366,,,,368,,432,,368,,,,368,,,,,,878,184,,184,78,170,,,736,156,,78,,,,,,,,390,,,460,1104,156,,,,,,,368,,736,552,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,92,546,,,,,,92,,,,,,184,,,,,,276,,,,,,,,,92,,,,,,,,,78,,,92,78,,,,,,,,,92,,,,,,78,,,92,,276,92,92,,,,,,,,,78,,,78,,,,,92,,,,,,,92,,,,,,,,,,,,,,,,,652,,,,,,,,78,,,,,,,,,,,78,,,,,,,,,,,,78,,,,,,,,,,92,,,,78,,,,,,,,,92,368,,,,,276,,,262,,,,,,,,,,,,,156,92,,,,,,,,,92,,,,,736,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,92,,,,,156,92,92,78,,,,,,,184,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,,,78,,,,,,,,,,,,78,,,92,,,92,,,,,,,,78,,,92,,,,,,,,,,,,,92,,92,156,78,92,,78,,,,,,,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,78,,,276,,,78,432,,,,,,,,,92,,1628,2760,644,828,,616,92,,92,,170,,,368,,78,468,,,,92,,78,,,92,,,,538,184,,78,,,,184,,,340,170,276,,,,,,92,,78,170,78,,,,,1104,,,,368,,262,,340,,,,828,,,,,,1154,262,,,78,276,,,736,468,,,,,,,,,,616,,,92,1288,,,,,92,,,368,,644,552,,,,184,,,,,,,92,,,,,92,,,,92,,,,,,,,92,78,680,,92,,,,368,,276,,,,368,,,,,,,,,92,,,,,,184,,,,,,,92,,156,,,,,,,,,,,,,92,,,,,,156,,,92,,276,92,,,,,,,,,,,,,78,,,,,368,,,,,,,92,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,92,,,,,,184,,,,354,,92,,,,,78,,368,276,,,78,,552,,,432,,,,,,,,,,,,,,92,,,,,,,,,,,,,,630,,,,,,,,,,,92,,,,,,,,,,,,,,,,92,,,,184,,,,,,,184,,,,,,,,92,,,156,,276,326,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,78,,276,,92,,,184,,,,,,,,,,,,,,92,,,,,,,,,,,,,,78,,,,,,,,,,92,,92,92,92,92,92,92,92,184,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,184,,,92,,,,354,,,,,,,,,92,,1168,1472,418,1196,,836,,,,,,,156,184,,,482,,,,,,,,,460,,92,,340,92,,78,,,,276,,,354,78,276,,,,,,92,184,,170,234,,,92,,920,,,,184,,354,,276,,,,,,,92,,,446,184,,,234,184,,,,156,,,,,,,,,,1028,,,552,368,,,,,,,,92,,460,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,78,184,,,,,,184,,92,,,,92,,,,,,92,,,,,,,,,276,,,,,,,184,,78,,,,,,,,,,,,,,,,78,,,,,,,,276,,92,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,92,,368,368,,,92,,368,,,92,,,,,,,,,,,,,78,92,,,,,,,,,92,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,,,,92,78,,,,,,,,,,,,,170,,,,,184,,,,,,,,,92,,,,,,,,,,,,,,,,,,92,156,,,,,,,,,,92,,,,,,,156,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,340,,,92,78,,92,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,312,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,184,,,92,,,,276,,,,,,,,,,,1012,1656,340,1564,,1112,,,156,,,,,92,,78,418,,,,,,,,,92,,,78,170,920,,,,,,276,,,970,482,552,,,,,,92,184,78,170,,,,92,,460,,,,920,,78,,276,,,,78,,,,,,248,340,,,156,,,92,,170,,,,,,,,156,,248,,,920,1196,156,156,,,,78,,368,,276,552,,,,,,,,,,,156,,,,,,,,,92,92,,,,,,,,,78,,,,,,368,,,,,,,,92,,,,,,,,,,,,,644,,,,,,,92,,78,,,92,,,,,,,,,,,,,,,,156,,,,,460,92,,,,,,,,,,,,,,,,,,,,,,,,92,276,,,,,,,,,,,,,,,,,,,,,78,,368,,,,,,,,,,,,78,156,,,,,,,,,,,,,,,,,,,,,,184,,,,184,,,,,,,92,,92,644,,,,,460,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,,,,,,,92,,,,,,,,,,,,,,,,,,,,92,184,,,,,,,,,,184,,,,,,,,,,,156,,276,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,78,184,,,,,,78,,,,,,,184,,,92,,,92,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,92,,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,184,,,184,,,170,92,,,,,,,,,,,1012,1564,170,1196,,588,170,,,78,,,,460,,92,234,,,,,,,,,184,,,,78,92,,78,,,,644,,,78,326,276,,,,,,92,460,,170,,,,92,,1472,,,,92,,418,,170,,,,,,,,,,248,262,,,78,,,,,,,,,,,,,,,156,,,1196,1012,,,,,,,,552,,276,368,,,,,,,,,,,,,,,,,,,,92,,78,,,,,,92,,468,,,,,,460,,,,,,92,,,,,,276,,,,,,,,,736,,,,,,,92,,78,,,92,,,,,,,,,,,92,,,,,78,,,,,552,,92,,,,,,,,,78,,,78,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,170,,,,,,,,,,1104,,,92,,368,,,248,,368,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,92,,,,,,,,,,,,,,,,,184,,,184,,,,,,,,156,,,,,,,,,,,,92,170,,,,,184,,,,,,,,,,,,184,,,,,,,,,92,,156,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,156,,,,,156,92,184,170,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,,,,368,,,,248,,,,,,,,,,,892,736,170,368,,744,482,,,,418,,,368,,,744,,,,,,,,,184,,,,,,,,,,,276,,,184,326,644,,,,,,92,,,170,,,,184,,1288,,,,92,,184,,92,,,,,,,,,,836,262,,,234,,,,,,,,,,,,,,,156,,,920,1288,,,,,,78,,460,,276,460,,,,,,,,,,,156,,,,,,,,,,92,,,,,,,92,,,,,,,,552,,184,,,,92,,,,,,368,,,,,,,,,644,,,,,,,,,156,,,184,,,,,,,,,,,,,,,,78,,,,,722,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,92,,,,,,184,,,,184,,,,,,,,,92,828,,,,,460,,,354,,276,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,92,,,,92,,,,,,,,,,,,,,,,,,,,276,184,,,92,,,,,,,,,,,,,,,92,,,,,276,92,,,,,92,,,,,,,,,,,,92,,,,,,,,,,,78,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,78,,,,,,,,184,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,92,,,,,,,,,,,156,,,,,,,,,92,,,,,,92,,,,,,,,92,184,78,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,184,,,,170,,,,92,,,,,,78,828,1380,92,920,,588,354,,,,78,,92,368,,,326,,,,,,,,,184,,,78,,,,,,,,460,,,616,156,368,,,,,,92,,78,354,156,,,92,,736,,,,184,,616,,,,,,,,,,,,,184,,,78,92,,92,,,,,,,,,,,,92,,,2116,828,,,,,,,,644,,460,644,,,,,,,,,,,,,,,,,,,,,78,,,,,,,92,,156,,,,,,368,,92,,,,,,,,,,276,,,92,,,,,,460,,,,,,,184,,,,,184,,,,,,,,,390,92,92,92,78,,,,,,,,276,92,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,92,,,,,,,,,,,,,368,460,,,92,,368,,,92,,184,,,,,,92,,,,,,92,,,,,,,,,,,,,,262,,,,,,,92,,,,,,,,,,,,,,,,,,,,,184,,,92,,,,,,,92,,,,,,,,,,,,,92,,184,,,,92,,,,,,,,,,,,184,,,,,,,,,,,78,,,,,,,,,,,,,,,92,,,,,,,,,,,,,92,,,,,,,,,,,,92,,,,,,,,,,,78,,,,78,,,,,,,,,,,,92,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,78,,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,,,92,,,156,,,,,,,,,,,,432,460,170,1104,,340,340,,,,156,,,736,,,248,,,,,,,,,92,,,,248,,,,,,,460,,,,156,460,,,,,,92,,,524,156,,,,,828,,,,276,,92,,78,,,,,,,,,,312,340,,,78,,,,,,,,,,,,,,,836,,,1564,920,,,,,,78,,276,,184,92,,,,92,,,,,,,,,,,,,,,,,,,,,,,,92,,78,,92,,,,368,,184,,,,,,,,,,460,,,,,,,,,828,,,,,,,184,,,,,,,,,,,,,,,,184,,,,,,,,,,644,,,,,,,,92,,,,,,78,,92,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,92,,,,,,,,,,1012,,,,,276,,,78,,368,,,,,,,,,,78,78,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,92,184,,,92,,,,,,,,,,,,,,,92,,,156,,92,170,,,,,92,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,92,,,,,,,,,,,,92,,,,,,,,,,,78,,,,78,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,78,184,92,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,,,,92,,,,,,,,,,,,,,,878,1104,92,1104,,354,262,,78,,156,,312,552,,,482,,,,,,,,,92,,,,,,,,,,,92,,78,78,390,460,,,,,,92,,78,262,,,,,,1012,,,,368,,170,,92,,,,,,,,,,,354,,,156,,,,,,,,,,,,,,,78,,,2116,1012,,,,,,,,460,,736,276,,,,92,,92,,,,,,,,,,,,,,92,,78,,,,,,92,,78,,78,,,,644,,,,,,,,,,,,1104,,,,,,,,,920,,170,,,,,,,,,,,,,,,,,,,,,92,,,,,,,92,,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,92,276,,,,,184,,,184,,368,,,,,,92,,,,,78,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,92,,,,,,,,,,,,184,,,,,,,,,78,,78,,,,184,,,,,,,,,184,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,78,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,,,184,,,,,,,,92,,,,,,,970,1012,,460,,276,262,,,,78,,92,828,,,418,,,,,,,,,552,,,,,,,,,,,828,,,184,170,368,,,,,,92,,,234,,,,,,1012,,,,276,,248,,276,,,,,,,,,,78,354,,,78,,,,,,,,,,,,,,,156,,,1564,828,,,,,,,,184,,644,552,,,,92,,,,,,,,,,,,,,,,92,,78,,,,,,1196,,78,,,,,,552,,184,,,,,,,,,,644,,,,,,,,,736,,,,,,,92,,,,,,,,,,,,,,,,276,,,,,78,,,,,1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,156,,,,,,,,,,184,,,,170,,,,,,,,,276,184,,,,,736,,,92,92,368,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,92,,,,,,,,,,,,,,,92,,,,,276,184,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,156,,,184,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,,,,92,,,,,,,,,,,,,,,602,1196,,644,,92,432,,78,,78,,,184,,,390,,,,,,,,,736,,,,,,,,,,,906,,,92,78,460,,,,,,,,,78,,,,184,,552,,,,552,,524,,184,,,,,,,,,,390,262,,,234,,,,,,,,,,92,,,,,156,,,1840,736,,,,,,78,,184,,368,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,,156,,184,,,,460,,92,,,,,,,,,,276,,,,,,,,,552,,,,,,,92,,,,,,,,,,,,,,,,,,,,,78,,,,,2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,78,,,,,,,,,,,,,,,78,,,,,,,,,,,,78,,,,,,,,,,92,,,,,,,,,,,,,184,184,,,,,276,,,,,368,,,,,,,,,,,78,,,,,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,184,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,92,,,,,,,,,,,,,78,,,184,,,,,,,92,92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
