,N81100,J82035,Y04335,Y03418,J83010,M84045,Y04019,C84113,J82190,Y03980,J83016,N81015,N81084,Y03812,C84061,B83014,G85041,C88054,J82099,F82663,Y04107,M81020,M81039,Y03784,L84028,Y03760,Y03740,C88039,L84023,C87018,G83628,Y03798,M81063,Y03809,L84009,J82074,A85007,Y04332,Y03884,N81045,C86016,B81003,N81026,M86013,L85022,N81016,E82095,L83057,M81004,Y03793,M83062,L84010,G83068,Y03900,G81614,M82014,L85040,B83049,B85060,G81098,M86018,L82038,J82085,Y03909,Y04331,J82056,B84008,B84021,P91009,L83011,G82735,J82161,P81159,G85021,H82052,G83655,H82070,P83603,B82044,B85636,M81057,M82059,L84058,N81039,P81074,P85015,N81002,G85053,B84007,C84044,A82062,N81077,B81018,L84008,L82061,H84012,P88012,M84062,L84027,Y04883,B85016,N81068,J82146,Y03743,C88018,N81069,C86014,C87005,B84613,B85610,B85023,L84006,C82012,B84013,B85002,K82032,L84032,Y04087,L85017,N81121,F85069,Y03886,B84618,Y03814,L84067,C84688,A84022,N81122,E85055,L82028,C84046,C83634,M87007,B85037,J81020,Y03903,Y04023,N81127,L84051,L84044,C84039,M88013,Y04037,K81002,B85042,G82704,J82633,B84006,M81013,Y03922,F85008,J82138,Y04026,Y04162,G82014,P84669,G85039,E83053,L84037,P81128,J82091,P81037,G82693,Y03818,B81055,Y03800,F81157,Y03836,L84015,J82145,N81114,Y03797,L85009,C84045,N81052,M84038,L84059,G83630,Y03124,B82020,L84068,P81681,L85004,B84001,H82621,M82007,C82079,N81123,M81629,Y03755,Y03887,G85045,G84022,L84033,L85028,Y04703,N81008,Y02519,J83031,J82640,M81008,M85030,Y04141,L81064,M81075,B83022,Y02517,Y03822,N81049,L82030,G82737,J81005,G82071,P84072,J81027,Y04024,Y04945,N81024,K81057,G81029,M91655,P81722,P85004,Y03741,L84075,A87023,A83644,H82025,K81041,Y04048,L84613,M83001,D83048,L84043,E85004,L85062,M83051,C83021,L85046,M81074,F85048,M84022,L84060,L83092,P84650,J82139,L85016,Y04334,N81075,J83609,L84036,J82100,P85006,M82005,M83692,C84087,M82029,L85035,L82001,M84012,A82016,E82074,Y02321,P84056,Y03287,B82054,C84703,M83032,Y04115,B82060,C83040,C84637,Y04161,F82609,C84004,E82046,K81043,M82010,B81042,J81078,L85033,C83018,P88625,L85624,C84078,B84016,J82154,B87040,Y03782,N81055,P81129,Y03917,B82032,B83027,G82119,B81013,Y03789,Y04033,B86029,B85638,B84010,N81092,Y04266,L85015,N81089,M81089,H82099,A82072,A86003,J81054,H82039,J82034,P81089,G83680,M81006,A82629,Y03820,G81053,A82631,C88006,N81007,Y03916,L84045,B84005,J82065,B85005,K82042,L85619,G83013,L84069,M81046,Y03892,C84081,L81071,J82097,Y01794,F82666,L85014,L81600,F82022,J82126,N81632,N81040,C83006,L83053,J82072,G83647,P85606,J82669,C84064,J82196,L83052,J82090,J83041,N81047,K81078,L85002,E85040,J82027,H81134,P86026,Y03746,C84019,Y03967,H81074,J83005,J82054,M92026,N81062,P86013,A82068,J82044,J82143,B84011,B87008,B81016,E85096,P84068,E83037,L84038,Y03106,Y02461,P86022,P81684,L85003,Y04163,Y03894,J82039,N81006,J83025,N81017,J82165,B85027,Y04028,M83036,B84004,B86054,F81022,D81074,B85022,M86622,J83034,H82084,C84658,C83075,L83643,B86006,L81004,K82053,C83019,J82021,F81021,A83025,F82033,L81012,G83672,G82106,N81061,C84085,C83045,Y03902,J82152,P91006,Y03950,M84046,L81067,B84014,L81021,L81086,J82215,L81037,Y04045,M82039,B81101,N82669,P81016,B86050,H82023,N81030,A82647,D83020,Y03870,L85008,G84006,Y04187,B85011,N81053,C83054,M83078,Y04078,B86002,L83129,A83045,P81133,P84644,E85032,J83029,J82046,A86601,B86049,B87005,N81094,P81077,L81046,J82116,P86010,G85109,B86025,M86001,L81025,A82027,J82051,J82132,H82048,P92017,B86020,L84053,M86014,A82034,C83013,N81087,J82144,N81088,H82043,B87031,Y00902,N81012,E85007,A82018,B86667,N81074,P85013,Y03831,Y03773,N81624,N81070,M82604,P84673,E86026,H82034,B83033,Y04018,Y00507,A83015,P86019,B84615,A83040,C83031,C84691,J83636,L84002,C83023,L83066,L85011,N82022,E87637,L85030,B81049,P86007,B86048,F85014,B81030,E87046,G83027,K81656,L81119,L85043,Y03811,J81006,E85118,A82052,C84018,M84004,J81019,B85061,M81621,M82035,M92007,G83031,N81044,C84043,K82013,A82035,J82018,L84001,N81033,M81026,D81010,M83093,L81643,Y04169,B82611,B81070,J82133,L84080,C83650,L84005,C84072,M83073,H82036,L85039,B87019,L84013,L84018,L81120,N82046,L85010,E86028,M83072,G82679,B85030,M87021,Y03910,H81028,J82124,E85718,L83087,M81033,M81056,P85002,G82012,L84025,L81058,M84036,P91003,G85005,C84107,Y03927,E83036,P86011,N81022,P81737,M85068,D82011,M81073,Y05113,A82053,Y04113,N81109,B87036,J82060,J82017,L81040,K82073,P81092,H81103,L85018,M86621,M84025,F82008,A82650,C83064,F82002,C82076,H82056,Y04224,L84020,L81102,P84026,B87009,C83004,J82155,B87002,C86023,L84054,P89022,J83046,N81032,N81112,Y02572,L81062,P84040,E84009,N81021,M86045,J82156,L81112,H81017,E87755,F82006,J83013,C83059,N81029,P86004,Y03792,E83622,P86009,P81004,D81046,J83056,N81025,M84060,P81115,G81039,P85016,P86001,M86012,Y03938,L81124,B85051,G85011,P81087,P92030,B87015,L84056,B83624,B87021,M82004,A85001,Y03832,B85620,Y03948,N81090,B84003,J82026,B81642,J82147,M85079,Y04250,N81051,M86015,Y01008,H81011,L84050,E84014,Y03291,B84012,L84026,N81113,M84028,P81002,Y04371,L84017,Y03808,J81016,N81614,B81656,L81031,E82015,B81108,A82009,B81031,L84024,J83027,H85105,Y02795,L82042,M81040,B81039,B87006,M86617,M84031,B82010,Y03949,H81110,E84059,D83039,H82040,F81087,M81069,B81655,C84667,G81003,B87028,Y03970,C82123,M85065,B85031,N82671,F81076,N82002,G82095,G85022,L81081,B87026,Y02753,Y03883,L84049,H82050,G81104,Y02718,Y04104,E84018,Y05212,Y00448,L81066,B84019,D83029,P81150,P81113,B82013,M81023,L81089,Y00048,L85053,A85005,C83007,H83007,J82083,G82687,N82117,L83069,C88088,A82020,N82036,A82025,E84057,P83024,A85014,B87017,C83080,M81021,G82122,P81006,B82036,H82013,N81111,P85011,J83002,Y03794,B81087,D83060,M83698,B87001,E85026,C86022,M81042,B87012,Y05759,Y03761,C83011,C83020,Y00411,D81633,A82071,C84664,N81028,J83053,J82016,Y02482,P91032,Y02875,K84006,Y03893,A82008,Y06167,L85007,Y03360,M84010,A83037,A85609,C88096,D83053,A82065,B81063,J83018,L85027,L83099,J83021,D83040,P83020,C84028,Y03889,M82058,N81057,C88044,P91029,J82166,Y03882,M81048,J82063,L82620,L85037,L85006,L85029,P83007,C82007,M82009,B85014,M82041,J82210,J83038,L85055,C84122,C83028,F82013,J82020,G82052,B87003,J83011,C84009,E87681,B81091,F81142,H81068,Y04032,F82678,M84061,J82075,B82050,F82630,B81677,L84016,N81043,J83023,L85001,L83096,Y04286,Y01050,A83021,H82037,L85042,M85033,N81001,L84047,L85021,M81017,D82624,C82040,Y01929,C83626,L83050,N81085,A83075,C87014,J82098,Y03833,Y04240,E86042,A82033,P81055,Y04957,M82022,P92021,Y03777,M85722,A83003,J83047,Y03744,L82009,L82048,L84616,L82051,M85046,B81082,Y01922,A85016,N81050,C88037,C83042,Y03816,E85656,B82022,P85020,Y03897,Y05495,Y03939,Y05652,J82112,N81011,Y04211,C84131,P81029,E87609,E82129
2017-02-01,,,,,,,,,,,,1,,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,1,2,2,2,1,1,1,1,1,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,,,,,,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,1,,1,,,,,,1,,,,,,,1,,1,2,1,1,1,4,1,1,2,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,2,1,,1,,1,,1,,,,,,,,,,1,3,1,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,2,1,,1,1,,2,,,,,1,,,,1,2,2,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,2,5,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,2,,,,1,1,1,2,1,5,2,1,2,1,1,1,2,1,3,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,1,,,,,,,,,,,,,,,,,,3,,,,2,4,3,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,2,1,,1,,1,2,1,2,3,2,1,2,1,1,3,5,1,2,1,1,1,1,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,,,,,,,,1,,,4,1,3,1,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,1,1,3,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,3,,,,,,2,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,1,1,1,5,1,1,1,1,3,1,1,3,1,1,3,1,1,5,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
