,G85127,L84056,F84039,B86014,F81219,B83008,E81030,M87024,M88015,C88069,Y00918,E82001,G85723,D83029,D83023,E87043,E81065,M87012,D81645,M87638,C83085,E85025,P81133,H81123,Y00265,F82627,Y00898,F83020,Y02973,B86002,G81680,Y02332,M87602,G85662,B86039,F83652,L83067,K83002,J82112,D83048,K81085,P81780,B86061,M88633,G85674,D81046,F86020,J82181,J83063,L83050,K82615,M86018,B83026,F84641,G85045,P81035,B86049,G85137,J82082,G83005,C88040,K82076,G82808,F84006,J82077,B81004,F86703,K82062,B86067,C83045,G85001,P81150,F82017,M81027,F81052,M82022,G85104,G85711,B86081,E82040,L84616,B86059,B86102,N85005,K83012,B86025,B86042,F81068,M86009,F86044,L84009,B86623,D81070,G85696,G82630,H84062,M87009,Y03664,D81633,M92024,F86078,E81063,N82070,G85013,B86006,G85726,G85012,E85003,B86077,B86675,F85019,F86022,G85112,B82074,C88048,G85736,N81654,G85015,Y00033,P81147,B86030,Y02900,G85642,E83053,J82080,H81133,G85095,J82155,M83123,B86060,P81123,B82016,G84018,E81054,Y02585,C85009,N81010,F83045,B86666,D82015,K83027,F81030,F81223,G85134,F85066,B85041,B86022,K81083,B82073,F81212,P84028,B83070,F81080,Y02002,B86003,G85053,D81054,N82033,G85085,K81025,F84656,E81076,D81066,G85016,Y02476,F82663,M92015,N84627,M83143,P84616,M92028,M85139,B82047,F84621,M88006,G83012,B82080,B82020,A83047,F81087,M81014,P87036,F84118,E81044,D83060,F84010,G82796,M85133,B86110,L83086,F86083,E85016,F82019,G85054,F84724,P92623,B83058,Y02669,K81022,G85715,P81073,H81065,G85034,H83037,F86666,M85019,P84067,H84033,P84673,E87066,M89009,Y01068,F81045,M83094,H82101,C81033,J81061,G82015,F84016,Y02494,G85048,F82042,G85041,F85002,E84024,Y02787,G82135,B85036,F82011,F81147,Y02662,K82064,J82178,L82035,F85676,H82063,B86106,C81037,J81025,G85109,M85009,G83647,H82014,N81125,J83024,L82053,K81047,K84007,E82013,B81060,F82018,Y02584,D83014,G85123,P86609,E84006,M92654,B85660,M81017,C86014,H82045,M88645,M85167,L84052,K84045,P84644,B86013,P89020,D81012,F85065,F85652,F85043,F84052,K82065,E82057,P87648,M85611,L83041,P85021,Y00617,D82012,N82074,M85025,B81617,G85086,G83052,F82660,G85106,M85145,Y02477,E83035,Y01083,J81066,P84631,M85028,A82060,F83023,F81019,B86108,F81619,G82729,F84658,E81037,E83654,N82059,E81043,F81691,Y04600,F84737,G85633,A87003,L81090,F85682,F81023,L83011,L83043,H82065,H83622,Y02575,F84033,F81097,E81028,B86070,F84682,F84111,B83028,P81170,P84022,C88052,D83037,C83010,D83610,P91619,F86627,A88025,B82083,H82089,L83013,F82650,L81037,B86062,D82064,P81167,M85058,M83129,Y02583,G85046,F83042,B86075,D83049,B81026,Y04273,Y04572,G82085,C81051,B83614,C82020,G83067,F81043,E84067,P84005,F84681,L83002,C88023,Y04690,M85002,E87026,H85035,F84105,F83008,E82042,M85070,M85011,Y00459,Y01066,F83060,N82115,M85113,K81001,L81089,P84669,M82059,L83131,K83607,E83026,B86012,K82025,F85028,G85030,L84014,E86640,M88623,H83004,F85004,E87756,C82032,Y02928,J81070,M85164,B86005,K82032,F84698,F85669,P84016,B86103,F81078,A86008,C87608,L81091,F81117,N82067,F84702,J81012,F85013,B82037,F82055,E84658,Y04566,L83027,B85650,E86629,G82165,P81172,L84613,N85008,A86022,Y04941,H83024,G85130,F81144,L83006,F85023,J82010,F84666,M87605,F86057,F84083,B83052,B83604,B86096,G85706,N82082,L84025,Y03492,J81014,M85149,K82051,B86011,F85044,M92013,M92040,F86028,M85670,E83027,F82034,M87034,G85705,H81037,F84035,B86074,E82061,E82104,C88015,E84012,N83003,F83012,M85766,D81085,G81057,D81026,F81186,F85615,D81050,Y02672,M85061,E82643,K84019,K81651,M83723,E81632,P81695,B86682,H82029,M81038,D83074,F81032,F82008,F84124,F84055,F84647,E84053,E82038,P83017,M89003,P84672,L85007,B86104,K81069,B86055,B86667,G84002,F86018,L81045,J83033,Y02462,C84060,G85022,M85178,Y03770,J81032,F84062,Y03797,E85124,Y02794,P82029,F83664,G83033,Y05826,C85019,M91659
2017-11-01,28,,42,90,,90,,114,30,,,,,30,30,,30,30,,,42,,,,,,,,,28,,,28,,60,,60,,,,,,30,,,,60,28,,30,,,,,,,,60,30,,,30,,90,60,,,,60,,,,,,8,28,,,,,30,35,,,,88,,,30,,,90,,,,,,,,,,,,,15,,,,,,,60,,,,,,,,,,,,,,,,,,120,,,,,,,,,4,,,30,30,,,84,30,,,,,56,,30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,30,,,,,,,,30,,,49,,56,,,,21,,30,,,,,,,,,28,,,,,,,,,,,,,,,,,,,14,,60,,30,,,,,,,,,,,,,,,28,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,60,90,,90,,30,,,,,,,,,,,,,56,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,30,,,,30,140,,,,,60,,,,,,,,,,,,,,,,,,,,,,,1,60,28,,56,,,,,,,,,,,,30,,,,,60,30,,,,,35,,,,,30,,30,,,,,210,7,28,30,30,30,30,210,30,21,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,28,,42,,,30,,60,84,,,,,30,15,,,,,,21,,,,56,,,,,146,,,28,,60,,,,,,,,30,,,,60,28,60,,,,,,,,60,,30,,,30,30,,60,,,,56,,,,,,4,28,,,56,,30,125,,,,28,,,60,,,30,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,8,30,,,30,30,,,,,,,,,,120,90,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,58,,28,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,28,,28,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,60,,56,,,,,,,,,,,,,,30,56,,,,,,,,,,,,14,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,28,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,28,,,,,,,,,30,,,,,,,,,,28,,60,30,,30,,15,,,,,420,,2,,,,,210,,14,,30,37,30,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,56,,,,,90,,30,,,,,,,,,,,,,,,,,,,,,,28,,108,28,30,60,,,,,,,,30,,,,,56,,30,,,,,,,120,60,30,,,30,90,30,,,,,60,,,,,,4,28,,,,,30,14,,,,56,,,,,,60,,,,,,,,,90,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,14,30,,30,30,,,,60,,,,,28,,120,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,28,60,,60,,,30,,,,,,,,,,,35,,28,,,,,,,,,,,,,,,30,,30,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,56,,30,,,,,,,,,,,30,,,,,,,,,,,60,,,,,60,56,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,14,,,,30,,30,,,,90,,,,,,,2,,,,,,,,,,,,,30,,30,1,60,49,,56,,,,14,,,,,,,,,30,,,,,28,,,,,14,,,,,30,,,,,,,210,,,,,,,210,,7,,,28,,,20,28,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,,84,30,,30,,30,84,,,,,,15,,,60,,,28,,,,56,,,,,28,84,,28,,,,,,,,,,30,,,,60,28,60,,,60,,,,,60,,,,,30,,30,60,,,,86,,,,,,4,28,,,56,,30,,,,,,,,30,,,30,,,,,,,,,,,,,84,,,,,,,60,,,,,,,,,60,,,,,,,,,,,,,,,,,,6,30,,,30,30,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,30,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,60,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,56,,30,,,,,,,,,,,,,56,,,,,,,,,30,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,,,,,30,28,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,35,,,30,,,14,,,,,,,,,30,,,,,58,,,84,,14,,,30,,30,,,,,,,210,,,,,,,420,,,,,238,30,,10,,30,,,30,28,60,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,28,,,,,60,,60,,,,,,,,,30,,,,28,,,,112,,,,,118,,56,28,,60,,,,,,,,30,,,,,28,,,,60,,,,,,60,,,,,60,,,,,,,,,,,,4,28,,,56,,30,63,,,,116,,,30,,,30,,,,,,,,,60,,,,114,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,60,,,,,8,,,30,30,30,,84,60,,,,,,,120,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,60,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,56,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,58,,,,30,56,,,,,,,,,,,,2,,,,,,,,,,,,,,,30,1,,,,,,,,28,,91,,,,,,,60,,,,,28,,,,,,,,30,,60,,,,,,,420,,,30,,,,840,,,,,210,,,15,,30,,,,56,,,30,30,30,7,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,28,,,60,,60,,,,,,,,,,,,30,,,28,,,,,,,,,28,84,,28,,120,,30,,,,,,30,,,,60,28,,30,,,,,,,,,,,,30,,30,60,,,,86,,,,,,4,28,,,,,30,21,,,,88,,,30,,,30,,,,,,,,,,,,,84,30,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,60,,,,8,60,,30,,,,,60,,,,,,,30,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,28,60,,60,,,30,,,,,,,,,,,70,,,,,,,,,,,,,,,,,28,,30,,,,,,,,,,,30,,,,,,21,,60,,120,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,56,,,,,,,,,30,90,,,,30,56,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,28,,,,60,,,,30,28,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,35,,,,,,14,,28,,,,,,,90,,,,,86,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,210,,21,15,,30,,,,28,,,,,,,,,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,56,,,,,60,,60,,,,,,30,210,,,30,,,28,,,,56,,,,,56,,,28,,30,,,,,,,,30,,,,,28,60,30,,60,,,,,60,60,,,,60,60,30,,,,,86,,,,,,4,28,,,56,,30,222,,,,28,,,60,,,60,,,,,,,,,,,,,15,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,,30,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,28,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,30,,,,,,21,,,,60,,,,,,,,,,,,,30,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,60,,,,,,,28,,,,,,,,30,28,,,,,,,,,,,,1,,,,,,,,,,,,,30,,,,,28,,,,,,14,90,,,,,,,,,,,,,30,,,,,,,,30,,,,,,,,,420,,,,,,,,,,,,210,,,15,,60,,,,28,,,,,,,30,,,30,,,,,1,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,28,,,30,,90,,30,,,,,,30,,,,30,,,28,,,,,,,,,28,,,56,,120,,,,,,,,60,,,,,28,,30,,60,,,,,,60,,,,,60,,,,,,86,,,,,,,28,,,84,,30,28,,,,90,90,,30,,,30,,,,,,,,,120,,,,84,,,,,,,,,,,,,,,,60,,,,,,,,,56,,,,60,,,,,12,30,,30,,,,,30,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,14,,,,60,,,,,,,,,,,,,30,,,,,,,,,,,30,,,,,,,56,,,,,,,,,,,,,,,56,,,,,,,,,60,90,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,60,,,,30,28,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,14,,28,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,210,,,30,,30,,,,28,,,,,,,30,,,30,,30,,,2,30,60,30,30,28,1,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,28,,,30,,120,,60,,,,,,,,,,30,,,28,,,,,,,,,56,,,14,,,,30,,,,,,30,,,,,28,,,,,,,,,60,,,,,,,30,,,,,60,,,,,,4,,,,56,,30,42,,,,56,,,30,,,30,,,,,,,,,,,,,15,,,,,,,60,,,,,,,,1,,,,,,,,,,,,,,,60,,,,8,30,,,,30,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,14,,,,21,,,,,,,,,,,,,30,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,28,,,,,,,,30,28,,,,,,,,,,,,1,,,,,,,,,,,,,30,,,,,,,,,,,,,28,,,,,,,60,,,,,56,,,,,,,,,,,,,,,,,210,,,,116,,,420,,,,,,,,,,30,,,,28,,,,,,,,,,60,14,30,,,,,30,,60,,,,,30,1,56,28,90,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,28,,,30,,30,,30,,,,,,,,,,30,,,28,,,,,,,,,90,,,28,,,,,,,,,,30,,,,,,60,,,60,,,,,,60,,,,30,60,30,60,,,,56,,,,,,4,28,,,28,,30,21,,,,,30,,30,,,90,,,,,,,,,60,,,,15,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,60,60,,,,8,30,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,56,,30,,,,,,,,,,,,,,,,,21,,,,21,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,56,,,,30,,,,30,56,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,28,,,,,,,,,60,,,,,60,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,15,,30,,,,28,,,,,,,,,,30,,,,,,,,,,56,,,,30,,,,30,,,,1,60,30,30,210,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,28,,,30,,90,,30,,,,,,,,,,30,,,32,,,,,,,,,56,,,28,,150,,,,,,,,30,,,,,,60,30,,,,,,,60,,,,,60,,,,,,,60,,,,,,4,28,,,140,,,49,,,,118,,,30,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,60,,,,,,,,,56,,,,,,,,,8,,,,,,,,30,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,120,,60,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,14,,,,35,,,,,,,,,,,,,30,,30,,,,,,,,,30,,,,,,,10,,,,,,,,,,,,,,,56,,,,,,,,,30,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,28,,,,,,,,30,28,,,,,,,,,,,,,,,,,,,,,,,30,,60,,,1,,,,,,,,28,,,,,,,,,,,,,,56,,,,,,,,,,30,,,,,,,,,,,,,,420,,,,,,,,15,,30,,,,28,,,,,,,,,,60,,,,,,,,,,28,,,,30,,56,,60,,,,,,60,,,,,10,1,28,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,28,,,,,60,,60,,,,,,,,,,30,,,28,,,,,,,,,28,,,28,,60,,,,,,,,30,,,,,,60,30,,60,,,,,,60,,,,,60,30,60,,,,86,,,,,,4,28,,,,,,118,,,,56,90,,30,,,30,,,,,,,,,60,,,,30,,,,,,,60,,,,90,,,,1,60,,,,,,,,,,,,,,60,,,,10,30,,,,30,,,30,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,30,56,60,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,14,,,,35,,,,,,,,,,,,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,30,90,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,28,,,,60,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,60,,,,,,,,,,30,,,,,,,,,,,,,,420,,,,,,,,15,,30,,,,28,,,,,,,,,,60,,30,,,,30,,,,,,30,,30,,,,30,,,,,,,,,60,,,,,,,,,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,28,,,,,30,,30,,,,,,,,,,,,,28,,,,,,,,,118,,,56,,,,,,,,,,30,,,,,,,,,,,,,,60,,,,,30,,,,,,,30,,,,,,4,56,,,114,,,14,,,,28,,,30,,,90,,,,,,,,,,,,,99,,,,,,,60,,,,,,,,1,,,,,,,,,,,,,,,,,,,10,30,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,7,,,,28,,,,,,,,,,,,,30,,30,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,28,,,,30,,,,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,56,,30,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,30,,30,,,,28,,,,,,,,,30,60,,,,,,,,,,,,30,,30,,56,,30,,,,,,30,,,30,,,,,60,,30,,30,30,,,56,28,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,30,,30,,30,,,,,,,,,,60,,,56,,,,,,,,,56,,,,,90,,,,,,,,30,,,,,,,,,60,,,,,,60,,,,60,60,,60,,,,86,,,,,,4,28,,,56,,,21,,,,118,,,60,,,150,,,,,,,,,30,,,,,30,,,,1,,,,,,,,,,1,,,,,,,,,,56,,,,,,,,,8,,,,,30,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,30,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,35,,,,,,,,,,,,,30,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,28,,,,30,,,,30,56,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,15,,60,,,,28,,,,,,,,,,30,14,30,,,,,,,,,,30,,30,,,,,,,,,,30,,,30,,,,,,,30,,30,30,,30,,28,,,,30,30,30,28,60,30,56,30,210,30,1,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,90,,60,,,,,,,,,,30,,,28,,,,,,,,,118,,,56,,,,30,,,,,,60,,,,,,,,,,,,,,,,,,,30,,,,,,,28,,,,,,4,28,,,84,,,28,,,,,,,30,,,,,,,,,,,,30,,,,114,,,,,,,60,,,,,,,,1,60,,,,,,,,,,,,,,,,,,10,30,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,30,28,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,14,,,,28,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,60,,,,,,,,,,,,,,,,,,,,,,30,,,7,,,,,,,,,,,,,,,,,30,,,,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,60,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,30,,,,28,,,,1,,,,,,90,,,,,,,,,,,,30,,30,,,,60,,,,,,30,,,,,,,,,,30,,30,30,90,30,56,28,,,,30,30,30,,,,,,,,,30,30,56,30,1,28,1,1,,,,,,,,,
2019-03-01,,,,,,,,30,,,,,,,,,,,,,28,,,,,,,,,28,,,56,,60,,30,,,,,,30,,,,,,,,,60,,,,,60,60,,,,30,60,,120,,,,84,,,,,,4,28,,,,,,118,,,,88,,,30,,,180,,,,,,,,,90,,,,15,,,,,,,60,,,,,,,,2,,,,,,,,,,56,,,,,,,,,8,30,,,,30,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,60,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,14,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,56,,,,,,,,,30,90,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,30,,,840,,,,,,,,15,,30,,,,28,,,,,,,,,,60,,30,,,,,,,,,,30,,30,,,,30,,,,,,30,,,60,,,,,60,,30,,30,,30,30,28,28,,,,,,,,,,,30,,,,,,,30,,,,,7,30,1,8,30,30,56,30,30
